number,title,URL,type,filing_date,status,last_updated,initiator_type,initiators,committee,committees,convocation
7126,Проект Закону про внесення змін до деяких законів України щодо окремих питань проходження державної служби,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62569,law,2017-09-20,Закон підписано,2017-11-13,deputy,"20,147,214,20526,266,269,310,20315","Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування",Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань правової політики та правосуддя,Верховна Рада 8
7117,Проект Закону про підвищення доступності та якості медичного обслуговування у сільській місцевості,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62554,law,2017-09-18,Закон підписано,2017-12-29,president,325,Комітет з питань охорони здоровʼя,"Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань бюджету|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та звʼязку|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет з питань транспорту",Верховна Рада 8
0161,Проект Закону про ратифікацію Угоди про заохочення та захист інвестицій між Україною та Фондом міжнародного розвитку ОПЕК,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62557,law,2017-09-18,Закон підписано,2018-01-05,president,325,Комітет у закордонних справах,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань промислової політики та підприємництва",Верховна Рада 8
7116,Проект Закону про внесення змін до Бюджетного кодексу України,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62553,law,2017-09-15,Закон підписано,2017-12-30,cabmin,26303,Комітет з питань бюджету,"Комітет з питань аграрної політики та земельних відносин|Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи|Комітет з питань економічної політики|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та звʼязку|Комітет з питань культури і духовності|Комітет з питань науки і освіти|Комітет з питань національної безпеки і оборони|Комітет з питань охорони здоровʼя|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань податкової та митної політики|Комітет з питань прав людини, національних меншин і міжнаціональних відносин|Комітет з питань правової політики та правосуддя|Комітет з питань промислової політики та підприємництва|Комітет з питань Регламенту та організації роботи Верховної Ради України|Комітет з питань свободи слова та інформаційної політики|Комітет з питань сімʼї, молодіжної політики, спорту та туризму|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет з питань транспорту|Комітет з питань фінансової політики і банківської діяльності|Комітет у закордонних справах|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю|Спеціальна контрольна комісія Верховної Ради України з питань приватизації",Верховна Рада 8
7000,Проект Закону про Державний бюджет України на 2018 рік,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62551,law,2017-09-15,Закон підписано,2017-12-30,cabmin,26303,Комітет з питань бюджету,"Комітет з питань аграрної політики та земельних відносин|Комітет з питань будівництва, містобудування і житлово-комунального господарства|Комітет з питань державного будівництва, регіональної політики та місцевого самоврядування|Комітет з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи|Комітет з питань економічної політики|Комітет з питань європейської інтеграції|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та звʼязку|Комітет з питань культури і духовності|Комітет з питань науки і освіти|Комітет з питань національної безпеки і оборони|Комітет з питань охорони здоровʼя|Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки|Комітет з питань податкової та митної політики|Комітет з питань прав людини, національних меншин і міжнаціональних відносин|Комітет з питань правової політики та правосуддя|Комітет з питань промислової політики та підприємництва|Комітет з питань Регламенту та організації роботи Верховної Ради України|Комітет з питань свободи слова та інформаційної політики|Комітет з питань сімʼї, молодіжної політики, спорту та туризму|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет з питань транспорту|Комітет з питань фінансової політики і банківської діяльності|Комітет у закордонних справах|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю|Спеціальна контрольна комісія Верховної Ради України з питань приватизації",Верховна Рада 8
0160,"Проект Закону про ратифікацію Фінансової угоди (Проект ""Вища освіта України"") між Україною та Європейським інвестиційним банком",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62539,law,2017-09-14,Закон підписано,2017-12-01,president,325,Комітет у закордонних справах,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань науки і освіти|Комітет з питань фінансової політики і банківської діяльності,Верховна Рада 8
0159,Проект Закону про ратифікацію Протоколів № 15 та № 16 до Конвенції про захист прав людини і основоположних свобод,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62486,law,2017-09-07,Закон підписано,2017-10-30,president,325,Комітет у закордонних справах,"Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань прав людини, національних меншин і міжнаціональних відносин|Комітет з питань правової політики та правосуддя",Верховна Рада 8
7052,Проект Закону про внесення змін до Податкового кодексу України щодо оподаткування доходів нерезидентів-інвесторів у цінні папери,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62440,law,2017-08-31,Закон підписано,2017-09-08,cabmin,26303,Комітет з питань податкової та митної політики,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань фінансової політики і банківської діяльності,Верховна Рада 8
0156,Проект Закону про ратифікацію Угоди (у формі обміну нотами) між Урядом України та Урядом Сполучених Штатів Америки про відновлення дії Угоди між Урядом України та Урядом Сполучених Штатів Америки про співробітництво у сфері науки та технологій,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62402,law,2017-08-11,Закон підписано,2017-10-27,cabmin,26303,Комітет у закордонних справах,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та звʼязку|Комітет з питань науки і освіти|Комітет з питань правової політики та правосуддя,Верховна Рада 8
0155,"Проект Закону про ратифікацію Угоди (у формі обміну нотами) між Кабінетом Міністрів України та Урядом Латвійської Республіки про здійснення оплачуваних видів діяльності членами сімей співробітників дипломатичних представництв, консульських установ",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62399,law,2017-08-10,Закон підписано,2017-10-27,cabmin,26303,Комітет з питань європейської інтеграції,"Комітет з питань бюджету|Комітет з питань запобігання і протидії корупції|Комітет з питань податкової та митної політики|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет у закордонних справах",Верховна Рада 8
6710,Проект Закону про внесення змін до деяких законодавчих актів України (щодо соціального захисту осіб з інвалідністю),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62275,law,2017-07-13,Закон підписано,2018-01-16,cabmin,26303,"Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",,Верховна Рада 8
6684,Проект Закону про внесення змін до підрозділу 10 розділу ХХ Податкового кодексу України (щодо не застосування штрафних санкцій за несвоєчасну реєстрацію податкових та акцизних накладних унаслідок несанкціонованого втручання у роботу комп'ютерних мереж платників податків),http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62232,law,2017-07-12,Закон підписано,2017-07-24,deputy,"72,22474,22045,19288,25932,26310",Комітет з питань податкової та митної політики,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та звʼязку|Комітет з питань промислової політики та підприємництва,Верховна Рада 8
6682,"Проект Закону про внесення змін до Закону України ""Про гастрольні заходи в Україні"" (щодо особливостей організації та проведення гастрольних заходів в Україні за участі громадян країни-агресора)",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62230,law,2017-07-11,Закон підписано,2017-11-07,deputy,"21421,22542,20884,25933,23207,21311",Комітет з питань культури і духовності,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань національної безпеки і оборони|Комітет з питань правової політики та правосуддя|Комітет з питань промислової політики та підприємництва,Верховна Рада 8
0154,Проект Закону про ратифікацію Угоди між Кабінетом Міністрів України і Урядом Турецької Республіки про міжнародні комбіновані перевезення,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62212,law,2017-07-07,Закон підписано,2017-10-27,cabmin,26303,Комітет у закордонних справах,Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань транспорту,Верховна Рада 8
6659,"Проект Закону про внесення змін до пункту 6-2 Розділ V ""Прикінцеві положення"" Закону України ""Про регулювання містобудівної діяльності"" щодо деяких питань спорудження меморіально-музейного комплексу Героїв Небесної Сотні",http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62156,law,2017-06-29,Закон підписано,2018-02-20,deputy,"71,151,228","Комітет з питань будівництва, містобудування і житлово-комунального господарства","Комітет з питань аграрної політики та земельних відносин|Комітет з питань бюджету|Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань культури і духовності|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",Верховна Рада 8
0152,Проект Закону про ратифікацію Угоди між Україною та Європейським поліцейським офісом про оперативне та стратегічне співробітництво,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62148,law,2017-06-26,Закон підписано,2017-07-26,president,325,Комітет з питань європейської інтеграції,Комітет з питань бюджету|Комітет з питань законодавчого забезпечення правоохоронної діяльності|Комітет з питань запобігання і протидії корупції|Комітет з питань інформатизації та звʼязку|Комітет з питань національної безпеки і оборони|Комітет з питань правової політики та правосуддя|Комітет у закордонних справах,Верховна Рада 8
6617,Проект Закону про внесення змін до Бюджетного кодексу України щодо підвищення пенсій,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62091,law,2017-06-22,Закон підписано,2017-10-30,cabmin,26303,Комітет з питань бюджету,"Комітет з питань європейської інтеграції|Комітет з питань запобігання і протидії корупції|Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення|Комітет у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",Верховна Рада 8
6614,Проект Закону про внесення змін до деяких законодавчих актів України щодо підвищення пенсій,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62088,law,2017-06-22,Закон підписано,2017-10-09,cabmin,26303,"Комітет з питань соціальної політики, зайнятості та пенсійного забезпечення",,Верховна Рада 8
0149,Проект Закону про ратифікацію Додаткового протоколу між Урядом України та Урядом Республіки Хорватія про внесення змін до Угоди між Урядом України та Урядом Республіки Хорватія про сприяння та взаємний захист інвестицій,http://w1.c1.rada.gov.ua/pls/zweb2/webproc4_1?pf3511=62111,law,2017-06-22,Закон підписано,2017-10-27,cabmin,26303,Комітет з питань європейської інтеграції,Комітет з питань бюджету|Комітет з питань економічної політики|Комітет з питань запобігання і протидії корупції|Комітет з питань промислової політики та підприємництва|Комітет у закордонних справах,Верховна Рада 8
